,id,total-units,prereqs,semester,hass_attribute,gir_attribute,sections
1.00,1.00,12,GIR:CAL1,['Spring'],,REST,"{'LabSession': ['F9-11 VIRTUAL'], 'LectureSession': ['MW9.30-11 VIRTUAL']}"
1.004,1.004,12,,['Spring'],,,{'LectureSession': ['MWF9 VIRTUAL']}
1.006,1.006,12,,['Spring'],,,"{'LectureSession': ['TR1.30 VIRTUAL'], 'RecitationSession': ['W EVE (7 PM) VIRTUAL']}"
1.013,1.013,6,Permission of instructor,"['Fall', 'Spring']",,,{'LectureSession': ['T3-5 VIRTUAL']}
1.015,1.015,12,"2.003, 2.016, and 2.678; [2.671]",['Spring'],,LAB2,"{'LabSession': ['M2-5 NW98-188'], 'LectureSession': ['TR11-12.30 VIRTUAL']}"
1.016,1.016,9,,['Spring'],,,"{'LectureSession': ['MW3-4.30 VIRTUAL'], 'RecitationSession': ['F3 VIRTUAL']}"
1.020,1.020,12,"GIR:PHY1, 18.03, and (1.00 or 1.000)",['Spring'],,,"{'RecitationSession': ['F9.30-11.30 VIRTUAL'], 'LectureSession': ['MW9-10.30 VIRTUAL']}"
1.021,1.021,12,"18.03, 3.016B, or permission of instructor",['Spring'],,REST,"{'LectureSession': ['TR3-4.30 VIRTUAL'], 'RecitationSession': ['F4 VIRTUAL']}"
1.024,1.024,6,(1.000 and 1.010) or permission of instructor; [6.402],['Spring'],,,"{'LabSession': ['F12 VIRTUAL'], 'LectureSession': ['F11 VIRTUAL']}"
1.035,1.035,12,1.050 or permission of instructor,['Spring'],,,"{'LectureSession': ['MWF11 VIRTUAL'], 'LabSession': ['T2-5 1-050']}"
1.036,1.036,12,1.035 and 1.050,['Spring'],,,"{'LectureSession': ['MW1-2.30 VIRTUAL'], 'RecitationSession': ['F1 VIRTUAL']}"
1.037,1.037,12,,['Spring'],,,"{'LabSession': ['R1-3 VIRTUAL'], 'LectureSession': ['MWF10 VIRTUAL']}"
1.053,1.053,12,GIR:PHY2; [2.087 or 18.03],"['Fall', 'Spring']",,REST,"{'RecitationSession': ['R1 VIRTUAL'], 'LectureSession': ['MW9.30-11 VIRTUAL']}"
1.056,1.056,12,GIR:CAL2,['Spring'],,REST,"{'LectureSession': ['MW9.30-11 VIRTUAL'], 'LabSession': ['F9.30-11.30 VIRTUAL']}"
1.060,1.060,12,,['Spring'],,,"{'LabSession': ['F2.30-4.30 VIRTUAL'], 'LectureSession': ['MWF10 VIRTUAL']}"
1.060A,1.060A,6,[18.03]; or permission of instructor,['Spring'],,,"{'LabSession': ['T10-12 VIRTUAL'], 'LectureSession': ['MWF10 VIRTUAL']}"
1.062,1.062,12,GIR:PHY2 and (18.03 or 18.032),['Spring'],,,{'LectureSession': ['MW11-12.30 VIRTUAL']}
1.071,1.071,12,18.03,['Spring'],,,{'LectureSession': ['TR2.30-4 VIRTUAL']}
1.072,1.072,12,1.061,['Spring'],,,{'LectureSession': ['MW2.30-4 VIRTUAL']}
1.075,1.075,12,1.070B or permission of instructor,['Spring'],,,{'LectureSession': ['TR1-2.30 VIRTUAL']}
1.080,1.080,12,GIR:CHEM,['Spring'],,,"{'RecitationSession': ['F1 VIRTUAL'], 'LectureSession': ['MW1-2.30 VIRTUAL']}"
1.081,1.081,12,"GIR:BIOL, GIR:CAL2, and GIR:CHEM",['Spring'],,,{'LectureSession': ['TR1-2.30 VIRTUAL']}
1.082,1.082,6,,"['Fall', 'Spring']",,,{'LectureSession': ['W EVE (7-9 PM) VIRTUAL']}
1.088,1.088,12,GIR:BIOL and (1.000 or 6.0002),['Spring'],,,{'LectureSession': ['TR1-2.30 VIRTUAL']}
1.106,1.106,6,[1.061A],['Spring'],,LAB2,{'LabSession': ['TR1-5 48-109']}
1.107,1.107,6,[1.080],['Spring'],,LAB2,{'LabSession': ['TR1-5 48-109']}
1.801,1.801,12,,['Spring'],HS,,{'LectureSession': ['TR3.30-5 VIRTUAL']}
1.998,1.998,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
1.999,1.999,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
1.EPE,1.EPE,1,2.EPW or permission of instructor,"['Fall', 'Spring']",,,
1.S02,1.S02,12,,['Spring'],,LAB,"{'LectureSession': ['TR11 VIRTUAL'], 'LabSession': ['MW2.30-4.30 VIRTUAL']}"
1.S991,1.S991,0,Permission of instructor,"['Fall', 'IAP', 'Spring']",,,
1.S993,1.S993,0,Permission of instructor,['Spring'],,,
1.THU,1.THU,0,Permission of instructor,"['Fall', 'IAP', 'Summer', 'Spring']",,,
1.UR,1.UR,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
1.URG,1.URG,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
10.00,10.00,6,GIR:CHEM and GIR:PHY1,['Spring'],,,"{'LabSession': ['TR2-5 E18-676C'], 'LectureSession': ['TR1 VIRTUAL']}"
10.000,10.000,2,,"['Fall', 'Spring']",,,{'LectureSession': ['W3-5 VIRTUAL']}
10.01,10.01,6,,"['Fall', 'Spring']",,,{'LectureSession': ['M3-5 VIRTUAL']}
