,id,total-units,prereqs,semester,hass_attribute,gir_attribute,sections
1.801,1.801,12,,['Spring'],HS,,{'LectureSession': [['TR3.30-5']]}
11.001,11.001,12,,['Spring'],HH,,{'LectureSession': [['MW11-12.30']]}
11.005,11.005,12,,['Spring'],HS,,{'LectureSession': [['TR9.30-11']]}
11.006,11.006,12,,['Spring'],HS,,{'LectureSession': [['MW2-3.30']]}
11.021,11.021,12,,['Spring'],HS,,{'LectureSession': [['TR3.30-5']]}
11.027,11.027,12,Permission of instructor,['Spring'],HS,,{'LectureSession': [['TR4']]}
11.123,11.123,9,,['Spring'],HS,,{'LectureSession': [['TR11-12.30']]}
11.125,11.125,12,,['Spring'],HS,,"{'LabSession': [['*TO', 'BE', 'ARRANGED']], 'LectureSession': [['TR2.30-4']]}"
11.127,11.127,12,,['Spring'],HH,,"{'LectureSession': [['TR1-2.30']], 'LabSession': [['*TO', 'BE', 'ARRANGED']]}"
11.131,11.131,12,CMS.592,['Spring'],HS,,{'LectureSession': [['TR4-5.30']]}
11.139,11.139,9,,['Spring'],HH,,{'LectureSession': [['MW3.30-5']]}
12.011,12.011,9,GIR:CHEM or GIR:PHY1,['Spring'],HS,,"{'LectureSession': [['M', 'EVE', '(7-10', 'PM)']]}"
12.386,12.386,12,,['Spring'],HS,,{'LectureSession': [['MW1-2.30']]}
14.01,14.01,12,,"['Fall', 'Spring']",HS,,"{'RecitationSession': [['F9']], 'LectureSession': [['TBD']]}"
14.02,14.02,12,,"['Fall', 'Spring']",HS,,"{'RecitationSession': [['F2']], 'LectureSession': [['MW2']]}"
14.03,14.03,12,14.01 or permission of instructor,"['Fall', 'Spring']",HS,,"{'RecitationSession': [['F10']], 'LectureSession': [['MW9-10.30']]}"
14.15,14.15,12,6.041 or 14.30,['Spring'],HS,,"{'LectureSession': [['MW1-2.30']], 'RecitationSession': [['F2']]}"
14.18,14.18,12,"14.04, 14.12, 14.15, or 14.19",['Spring'],HS,,"{'LectureSession': [['MW2.30-4']], 'RecitationSession': [['TBD']]}"
14.20,14.20,12,14.01,['Spring'],HS,,"{'RecitationSession': [['F2']], 'LectureSession': [['MW1-2.30']]}"
